"Laikotarpis","Rodiklis","Matavimo vienetai","Reikšmė"
"2014M07","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2931612"
"2014M07","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2918"
"2014M07","Mėnesinis mirusiųjų skaičius","asmenys","3367"
"2014M06","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2932538"
"2014M06","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2609"
"2014M06","Mėnesinis mirusiųjų skaičius","asmenys","3008"
"2014M05","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2934308"
"2014M05","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2616"
"2014M05","Mėnesinis mirusiųjų skaičius","asmenys","3352"
"2014M04","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2936150"
"2014M04","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2546"
"2014M04","Mėnesinis mirusiųjų skaičius","asmenys","3505"
"2014M03","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2938662"
"2014M03","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2435"
"2014M03","Mėnesinis mirusiųjų skaičius","asmenys","3638"
"2014M02","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2941008"
"2014M02","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2109"
"2014M02","Mėnesinis mirusiųjų skaičius","asmenys","3296"
"2014M01","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2943472"
"2014M01","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2356"
"2014M01","Mėnesinis mirusiųjų skaičius","asmenys","3491"
"2013M12","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2945235"
"2013M12","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2311"
"2013M12","Mėnesinis mirusiųjų skaičius","asmenys","3449"
"2013M11","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2947527"
"2013M11","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2275"
"2013M11","Mėnesinis mirusiųjų skaičius","asmenys","3201"
"2013M10","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2950406"
"2013M10","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2455"
"2013M10","Mėnesinis mirusiųjų skaičius","asmenys","3481"
"2013M09","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2952868"
"2013M09","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2498"
"2013M09","Mėnesinis mirusiųjų skaičius","asmenys","3165"
"2013M08","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2955444"
"2013M08","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2811"
"2013M08","Mėnesinis mirusiųjų skaičius","asmenys","3083"
"2013M07","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2956558"
"2013M07","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2843"
"2013M07","Mėnesinis mirusiųjų skaičius","asmenys","3142"
"2013M06","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2958134"
"2013M06","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2504"
"2013M06","Mėnesinis mirusiųjų skaičius","asmenys","3145"
"2013M05","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2960196"
"2013M05","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2588"
"2013M05","Mėnesinis mirusiųjų skaičius","asmenys","3502"
"2013M04","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2963103"
"2013M04","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2400"
"2013M04","Mėnesinis mirusiųjų skaičius","asmenys","3763"
"2013M03","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2965672"
"2013M03","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2531"
"2013M03","Mėnesinis mirusiųjų skaičius","asmenys","3751"
"2013M02","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2968653"
"2013M02","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2198"
"2013M02","Mėnesinis mirusiųjų skaičius","asmenys","3756"
"2013M01","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2971905"
"2013M01","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2471"
"2013M01","Mėnesinis mirusiųjų skaičius","asmenys","4073"
"2012M12","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2974176"
"2012M12","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2427"
"2012M12","Mėnesinis mirusiųjų skaičius","asmenys","3815"
"2012M11","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2976722"
"2012M11","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2472"
